Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz          Fx_hydro          Fy_hydro          Fz_hydro         RFx_hydro         RFy_hydro         RFz_hydro           Fx_coll           Fy_coll           Fz_coll
  0.997649336E-02   0.500000000E-01   0.500000000E-01   0.127457697E+00   0.474639715E-16   0.386211431E-16  -0.723277091E-02  -0.597448938E-15   0.113378524E-14   0.301285004E-14  -0.474351091E-16   0.446949705E-16  -0.103454577E-02   0.232552619E-19  -0.228846849E-19  -0.331208768E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.105307430E-01   0.500000000E-01   0.500000000E-01   0.127453608E+00   0.272967523E-16   0.361471711E-16  -0.752117771E-02  -0.298391948E-15   0.126893663E-14   0.240706959E-14  -0.720163372E-16  -0.883445564E-17  -0.102988919E-02   0.240282141E-19   0.108589554E-19  -0.486724033E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.110849926E-01   0.500000000E-01   0.500000000E-01   0.127449360E+00   0.893706931E-17   0.283837014E-16  -0.780902801E-02  -0.144422043E-15   0.135809706E-14   0.203701353E-14  -0.655616970E-16  -0.277230412E-16  -0.102790196E-02   0.123709592E-19   0.716373812E-20  -0.297327482E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.116392423E-01   0.500000000E-01   0.500000000E-01   0.127444952E+00  -0.416540487E-17   0.205793339E-16  -0.809599067E-02   0.866911471E-16   0.135232418E-14   0.216318054E-14  -0.467884138E-16  -0.278690859E-16  -0.102473227E-02   0.185691603E-19  -0.463831057E-21   0.101370911E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.121934919E-01   0.500000000E-01   0.500000000E-01   0.127440385E+00  -0.414077328E-17   0.879328648E-17  -0.838249213E-02   0.146625250E-15   0.126603449E-14   0.238359513E-14   0.879584448E-19  -0.420875061E-16  -0.102308530E-02   0.481550172E-20  -0.693308408E-20   0.177095641E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.127477415E-01   0.500000000E-01   0.500000000E-01   0.127435660E+00  -0.216600483E-17   0.209221555E-17  -0.866817277E-02   0.193033717E-16   0.901824574E-15   0.267401015E-14   0.705181953E-17  -0.239292576E-16  -0.102015418E-02  -0.102298807E-19  -0.292630304E-19   0.233338614E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.133019912E-01   0.500000000E-01   0.500000000E-01   0.127430777E+00  -0.284557454E-16  -0.489511073E-17  -0.895330040E-02  -0.201685762E-15   0.383539348E-15   0.241253906E-14  -0.938796171E-16  -0.249514640E-16  -0.101817944E-02  -0.177557268E-19  -0.416424586E-19  -0.210083148E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.138562408E-01   0.500000000E-01   0.500000000E-01   0.127425736E+00  -0.372316645E-16  -0.110447478E-16  -0.923751651E-02  -0.244774114E-15  -0.280062650E-16   0.152454281E-14  -0.313384579E-16  -0.219601091E-16  -0.101492441E-02  -0.346200277E-20  -0.330662931E-19  -0.713474842E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.144104904E-01   0.500000000E-01   0.500000000E-01   0.127420537E+00  -0.271638441E-16  -0.537936551E-17  -0.952097668E-02  -0.153843726E-15  -0.323192492E-15   0.113392929E-14   0.359517860E-16   0.202308545E-16  -0.101222497E-02   0.730594799E-20  -0.237172113E-19  -0.313844711E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.149647400E-01   0.500000000E-01   0.500000000E-01   0.127415182E+00  -0.399769172E-16   0.391842762E-17  -0.980334007E-02  -0.143824437E-15  -0.559869874E-15   0.113095379E-14  -0.457549741E-16   0.332020492E-16  -0.100830843E-02   0.805015905E-21  -0.190162243E-19  -0.239070837E-21   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.155189897E-01   0.500000000E-01   0.500000000E-01   0.127409671E+00  -0.608936244E-16   0.547692631E-17  -0.100847012E-01  -0.175209195E-15  -0.286013667E-15   0.918187770E-15  -0.746927290E-16   0.556533681E-17  -0.100472928E-02  -0.252165884E-20   0.220034166E-19  -0.170950277E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.160732393E-01   0.500000000E-01   0.500000000E-01   0.127404004E+00  -0.652839356E-16   0.963341755E-17  -0.103618142E-01  -0.176679753E-15   0.732340540E-16   0.624668199E-15  -0.156776264E-16   0.148426648E-16  -0.989559558E-03  -0.118154322E-21   0.288643350E-19  -0.235833011E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.166274889E-01   0.500000000E-01   0.500000000E-01   0.127398184E+00  -0.720014374E-16   0.211480821E-16  -0.106391728E-01  -0.182788274E-15   0.892259220E-16   0.516270295E-15  -0.239879317E-16   0.411184088E-16  -0.990436688E-03  -0.490798927E-21   0.128489232E-20  -0.870940366E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.171817386E-01   0.500000000E-01   0.500000000E-01   0.127392210E+00  -0.954350427E-16   0.289414262E-16  -0.109178183E-01  -0.387090210E-15  -0.314627431E-15   0.663943311E-15  -0.836804717E-16   0.278297217E-16  -0.995032007E-03  -0.164149671E-19  -0.324482461E-19   0.118650256E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.177359882E-01   0.500000000E-01   0.500000000E-01   0.127386083E+00  -0.111595132E-15   0.322583308E-16  -0.111942646E-01  -0.470129412E-15  -0.315926124E-15   0.903650043E-15  -0.577070351E-16   0.118445342E-16  -0.987178577E-03  -0.667191802E-20  -0.104345560E-21   0.192596222E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.182902378E-01   0.500000000E-01   0.500000000E-01   0.127379802E+00  -0.120077818E-15   0.364668109E-16  -0.114685928E-01  -0.356397092E-15   0.304344798E-15   0.829198104E-15  -0.302913360E-16   0.150283148E-16  -0.979615096E-03   0.913800589E-20   0.498366631E-19  -0.598196059E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.188444875E-01   0.500000000E-01   0.500000000E-01   0.127373370E+00  -0.105933840E-15   0.432025485E-16  -0.117414048E-01  -0.380714675E-15   0.679191756E-15   0.700242788E-15   0.505075838E-16   0.240530508E-16  -0.974200638E-03  -0.195383526E-20   0.301176808E-19  -0.103611219E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.193987371E-01   0.500000000E-01   0.500000000E-01   0.127366787E+00  -0.780554506E-16   0.476721114E-16  -0.120129013E-01  -0.520943448E-15   0.994026327E-15   0.914121004E-15   0.995526189E-16   0.159606314E-16  -0.969503290E-03  -0.112669059E-19   0.252958891E-19   0.171843886E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
