Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz                Fx                Fy                Fz               RFx               RFy               RFz               Fxa               Fya               Fza
  0.467896993E-01   0.500000290E-01   0.500000290E-01   0.126525361E+00   0.344570294E-05   0.344570294E-05  -0.335554727E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.526236696E-06   0.526236696E-06   0.208280093E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.552425228E-06   0.552425228E-06   0.206238292E-02 
  0.493891270E-01   0.500000391E-01   0.500000391E-01   0.126437149E+00   0.427865290E-05   0.427865290E-05  -0.343070431E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.604059239E-06   0.604059239E-06   0.213279560E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.634207813E-06   0.634207813E-06   0.211478828E-02 
  0.519885547E-01   0.500000514E-01   0.500000514E-01   0.126347066E+00   0.520738040E-05   0.520738040E-05  -0.349955874E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.673398895E-06   0.673398895E-06   0.217856121E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.707132793E-06   0.707132793E-06   0.216277621E-02 
  0.545879825E-01   0.500000663E-01   0.500000663E-01   0.126255269E+00   0.621847043E-05   0.621847043E-05  -0.356264597E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.732956902E-06   0.732956902E-06   0.222042691E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.769843597E-06   0.769843597E-06   0.220668773E-02 
  0.571874102E-01   0.500000839E-01   0.500000839E-01   0.126161902E+00   0.730588084E-05   0.730588084E-05  -0.362045872E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.788078972E-06   0.788078972E-06   0.225870553E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.827953906E-06   0.827953906E-06   0.224684759E-02 
  0.597868379E-01   0.500001044E-01   0.500001044E-01   0.126067096E+00   0.846886594E-05   0.846886594E-05  -0.367344399E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.842594839E-06   0.842594839E-06   0.229373145E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.885496450E-06   0.885496450E-06   0.228360393E-02 
  0.623862657E-01   0.500001281E-01   0.500001281E-01   0.125970972E+00   0.971270122E-05   0.971270122E-05  -0.372201144E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.900881292E-06   0.900881292E-06   0.232577800E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.947055748E-06   0.947055748E-06   0.231724128E-02 
  0.649856934E-01   0.500001551E-01   0.500001551E-01   0.125873638E+00   0.110439206E-04   0.110439206E-04  -0.376653723E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.963878327E-06   0.963878327E-06   0.235508984E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.101358994E-05   0.101358994E-05   0.234801447E-02 
  0.675851212E-01   0.500001857E-01   0.500001857E-01   0.125775195E+00   0.124658694E-04   0.124658694E-04  -0.380736959E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.102927674E-05   0.102927674E-05   0.238187115E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.108267132E-05   0.108267132E-05   0.237613619E-02 
  0.701845489E-01   0.500002201E-01   0.500002201E-01   0.125675736E+00   0.139763365E-04   0.139763365E-04  -0.384482640E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.109300526E-05   0.109300526E-05   0.240634328E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.115006917E-05   0.115006917E-05   0.240183760E-02 
